name,description,image,animation_url,external_url,background_color,youtube_url,BODY_PATTERN,HEAD_PATTERN,LEG_PATTERN,MANE,MANE_PATTERN,TAIL,TAIL_PATTERN,LEG_HAIR,LEG_HAIR_PATTERN,WING,HORN,COLOR_SET_NO,AGE,OVERALL,FRONT,STRETCH,WEIGHT,RUNTYPE
#00000000,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000000.png,,https://thirdweb.com,,,None,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Angel Ring,91,,,,,,
#00000001,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000001.png,,https://thirdweb.com,,,Speed,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Angel Ring,1,,,,,,
#00000002,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000002.png,,https://thirdweb.com,,,Fire,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Devil Horns,2,,,,,,
#00000003,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000003.png,,https://thirdweb.com,,,Lotus,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Deer Antlers,3,,,,,,
#00000004,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000004.png,,https://thirdweb.com,,,Emboss,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,4,,,,,,
#00000005,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000005.png,,https://thirdweb.com,,,Rococo,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Angel Ring,5,,,,,,
#00000006,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000006.png,,https://thirdweb.com,,,Cyberpunk,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Devil Horns,6,,,,,,
#00000007,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000007.png,,https://thirdweb.com,,,Chain,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Deer Antlers,7,,,,,,
#00000008,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000008.png,,https://thirdweb.com,,,Chessboard,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Unicorn Horn,8,,,,,,
#00000009,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000009.png,,https://thirdweb.com,,,Brushed,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Devil Horns,9,,,,,,
